Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyMatch(colorBgrHex, realBgr, true)",Chrome 106.0.0.0,,,2022-10-26 22:01:19,2022-10-26 22:01:19,0.009s,PASSED
,,,,,,,
Test Cases/TC2 - Verify options list on the category page displays correctly,Chrome 106.0.0.0,,,2022-10-26 22:01:19,2022-10-26 22:01:26,7.252s,PASSED
openBrowser(TIKI_CATEGORY_DEVIDE_URL),Chrome 106.0.0.0,,,2022-10-26 22:01:20,2022-10-26 22:01:24,4.543s,PASSED
waitForPageLoad(10),Chrome 106.0.0.0,,,2022-10-26 22:01:24,2022-10-26 22:01:25,0.609s,PASSED
"expectList = [""Thiết Bị Âm Thanh và Phụ Kiện"", ""Thiết Bị Chơi Game và Phụ Kiện"", ""Thiết Bị Đeo Thông Minh và Phụ Kiện"", ""Thiết Bị Thông Minh và Linh Kiện Điện Tử"", ""Phụ Kiện Điện Thoại và Máy Tính Bảng"", ""Phụ kiện máy tính và Laptop""]",Chrome 106.0.0.0,,,2022-10-26 22:01:25,2022-10-26 22:01:25,0.001s,PASSED
"actualList = FinalKeywords.getTextFromList(findTestObject(""Tiki_Devide_Category/list_category""))",Chrome 106.0.0.0,,,2022-10-26 22:01:25,2022-10-26 22:01:26,1.336s,PASSED
"kms.turing.katalon.plugins.assertj.ListAssert.equalsWithOrder(actualList, expectList, ""contains"")",Chrome 106.0.0.0,,,2022-10-26 22:01:26,2022-10-26 22:01:26,0.094s,PASSED
,,,,,,,
Test Cases/TC3 - Verify search result products should contain searched keyword,Chrome 106.0.0.0,,,2022-10-26 22:01:27,2022-10-26 22:01:51,24.984s,PASSED
openBrowser(AMAZON_RAW_URL),Chrome 106.0.0.0,,,2022-10-26 22:01:27,2022-10-26 22:01:32,4.939s,PASSED
"sendKeys(findTestObject(""Amazon_Search_Block/tbx_search_box""), keyword)",Chrome 106.0.0.0,,,2022-10-26 22:01:32,2022-10-26 22:01:37,4.889s,PASSED
"click(findTestObject(""Amazon_Search_Block/btn_search""))",Chrome 106.0.0.0,,,2022-10-26 22:01:37,2022-10-26 22:01:45,8.410s,PASSED
"waitForElementPresent(findTestObject(""Amazon_Result_Page/title_result_page""), 10)",Chrome 106.0.0.0,,,2022-10-26 22:01:45,2022-10-26 22:01:47,2.260s,PASSED
"titleResult = FinalKeywords.getTextFromList(findTestObject(""Amazon_Result_Page/txt_result_list_title""))",Chrome 106.0.0.0,,,2022-10-26 22:01:47,2022-10-26 22:01:51,3.901s,PASSED
println(titleResult),Chrome 106.0.0.0,,,2022-10-26 22:01:51,2022-10-26 22:01:51,0.005s,PASSED
"for ([i = 0, i < 5, (i++)])",Chrome 106.0.0.0,,,2022-10-26 22:01:51,2022-10-26 22:01:51,0.093s,PASSED
,,,,,,,
Test Cases/TC4_Verify page search title display correctly following keyword,Chrome 106.0.0.0,,,2022-10-26 22:01:51,2022-10-26 22:02:41,49.712s,PASSED
openBrowser(TIKI_RAW_URL),Chrome 106.0.0.0,,,2022-10-26 22:01:52,2022-10-26 22:01:59,6.656s,PASSED
"sendKeys(findTestObject(""Tiki_Search_Block/tbx_search_box""), keyword)",Chrome 106.0.0.0,,,2022-10-26 22:01:59,2022-10-26 22:02:01,2.170s,PASSED
"click(findTestObject(""Tiki_Search_Block/btn_search""))",Chrome 106.0.0.0,,,2022-10-26 22:02:01,2022-10-26 22:02:31,30.279s,PASSED
"waitForElementVisible(findTestObject(""Tiki_Result_Page/title_result_page""), 10)",Chrome 106.0.0.0,,,2022-10-26 22:02:31,2022-10-26 22:02:41,9.704s,PASSED
"result_title = FinalKeywords.getTextOfElement(findTestObject(""Tiki_Result_Page/title_result_page""))",Chrome 106.0.0.0,,,2022-10-26 22:02:41,2022-10-26 22:02:41,0.351s,PASSED
println(result_title),Chrome 106.0.0.0,,,2022-10-26 22:02:41,2022-10-26 22:02:41,0.001s,PASSED
"kms.turing.katalon.plugins.assertj.StringAssert.contains(result_title, keyword, false, ""contains"", STOP_ON_FAILURE)",Chrome 106.0.0.0,,,2022-10-26 22:02:41,2022-10-26 22:02:41,0.003s,PASSED
