Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
LucySuite,Chrome 106.0.0.0,,,2022-10-26 21:59:35,2022-10-26 22:02:41,3m - 6.079s,PASSED
,,,,,,,
Test Cases/TC1_Verify UI of button Tìm Kiếm,Chrome 106.0.0.0,,,2022-10-26 21:59:36,2022-10-26 22:01:19,1m - 43.416s,PASSED
openBrowser(TIKI_RAW_URL),Chrome 106.0.0.0,,,2022-10-26 21:59:37,2022-10-26 21:59:46,8.959s,PASSED
"verifyElementPresent(findTestObject(""Tiki_search_Block/btn_search""), 10)",Chrome 106.0.0.0,,,2022-10-26 21:59:46,2022-10-26 21:59:48,2.877s,PASSED
"text = getText(findTestObject(""Tiki_search_Block/btn_search""))",Chrome 106.0.0.0,,,2022-10-26 21:59:48,2022-10-26 22:00:19,30.209s,PASSED
"realText = ""Tìm Kiếm""",Chrome 106.0.0.0,,,2022-10-26 22:00:19,2022-10-26 22:00:19,0.001s,PASSED
"verifyMatch(text, realText, true)",Chrome 106.0.0.0,,,2022-10-26 22:00:19,2022-10-26 22:00:19,0.024s,PASSED
"color = getCSSValue(findTestObject(""Tiki_search_Block/btn_search""), ""color"")",Chrome 106.0.0.0,,,2022-10-26 22:00:19,2022-10-26 22:00:49,30.176s,PASSED
colorHex = FinalKeywords.convertRGBAStringToHex(color),Chrome 106.0.0.0,,,2022-10-26 22:00:49,2022-10-26 22:00:49,0.031s,PASSED
"realColor = ""#ffffff""",Chrome 106.0.0.0,,,2022-10-26 22:00:49,2022-10-26 22:00:49,0.001s,PASSED
"verifyMatch(colorHex, realColor, true)",Chrome 106.0.0.0,,,2022-10-26 22:00:49,2022-10-26 22:00:49,0.004s,PASSED
"bgr = getCSSValue(findTestObject(""Tiki_search_Block/btn_search""), ""background"")",Chrome 106.0.0.0,,,2022-10-26 22:00:49,2022-10-26 22:01:19,30.279s,PASSED
rgbBrgColor = FinalKeywords.getRGBString(bgr),Chrome 106.0.0.0,,,2022-10-26 22:01:19,2022-10-26 22:01:19,0.013s,PASSED
colorBgrHex = FinalKeywords.convertRGBStringToHex(rgbBrgColor),Chrome 106.0.0.0,,,2022-10-26 22:01:19,2022-10-26 22:01:19,0.007s,PASSED
"realBgr = ""#0d5cb6""",Chrome 106.0.0.0,,,2022-10-26 22:01:19,2022-10-26 22:01:19,0.001s,PASSED
